,dt,hires,dropouts,total_employees,dt_time,turnover,employerId,location,buildingId,location_x,location_y,buildingType,businessType
444,2022-03-02,0.0,0.0,1.0,2022-03-02,,379,POINT (-1849.997168394888 1744.6010147106394),823,-1849.997168394888,1744.6010147106394,Commercial,Other
890,2022-03-02,0.0,0.0,4.0,2022-03-02,,381,POINT (877.2786575380362 1358.5441805909259),279,877.2786575380362,1358.5441805909259,Commercial,Other
1335,2022-03-02,0.0,0.0,4.0,2022-03-02,,382,POINT (670.3987400004884 1584.4743462106067),3,670.3987400004884,1584.4743462106067,Commercial,Other
1780,2022-03-02,0.0,0.0,6.0,2022-03-02,,383,POINT (829.9556783260775 2163.4803049897623),146,829.9556783260775,2163.4803049897623,Commercial,Other
2225,2022-03-02,0.0,0.0,3.0,2022-03-02,,384,POINT (880.1644882398598 4339.7016557216575),527,880.1644882398598,4339.7016557216575,Commercial,Other
2670,2022-03-02,0.0,0.0,5.0,2022-03-02,,385,POINT (231.13884534051988 1095.6471792268785),782,231.13884534051988,1095.6471792268785,Commercial,Other
3115,2022-03-02,0.0,0.0,5.0,2022-03-02,,386,POINT (-1349.8842287593952 1610.4623628717086),596,-1349.8842287593952,1610.4623628717086,Commercial,Other
3560,2022-03-02,0.0,0.0,2.0,2022-03-02,,387,POINT (864.9382009582821 1556.3972795892669),880,864.9382009582821,1556.3972795892669,Commercial,Other
4005,2022-03-02,0.0,0.0,5.0,2022-03-02,,388,POINT (611.8427226577171 2550.7250184246723),986,611.8427226577171,2550.7250184246723,Commercial,Other
4450,2022-03-02,0.0,0.0,3.0,2022-03-02,,389,POINT (1749.107722959826 4023.6598528872755),1020,1749.107722959826,4023.6598528872755,Commercial,Other
4895,2022-03-02,0.0,0.0,3.0,2022-03-02,,390,POINT (994.4462620941047 3762.3654281251634),347,994.4462620941047,3762.3654281251634,Commercial,Other
5340,2022-03-02,0.0,0.0,2.0,2022-03-02,,391,POINT (609.8156412485578 787.4692664792319),632,609.8156412485578,787.4692664792319,Commercial,Other
5785,2022-03-02,0.0,0.0,3.0,2022-03-02,,392,POINT (-885.2966139548657 1555.9764946386085),315,-885.2966139548657,1555.9764946386085,Commercial,Other
6230,2022-03-02,0.0,0.0,4.0,2022-03-02,,393,POINT (903.9691099852218 4220.741537877808),592,903.9691099852218,4220.741537877808,Commercial,Other
6675,2022-03-02,0.0,0.0,1.0,2022-03-02,,394,POINT (865.149408963124 982.7393731902811),893,865.149408963124,982.7393731902811,Commercial,Other
7120,2022-03-02,0.0,0.0,3.0,2022-03-02,,395,POINT (286.586327845334 1725.5999247626096),230,286.586327845334,1725.5999247626096,Commercial,Other
7565,2022-03-02,0.0,0.0,7.0,2022-03-02,,396,POINT (868.902110395577 4390.34074468453),590,868.902110395577,4390.34074468453,Commercial,Other
8010,2022-03-02,0.0,0.0,5.0,2022-03-02,,397,POINT (1499.3204774627252 4304.553083816536),351,1499.3204774627252,4304.553083816536,Commercial,Other
8455,2022-03-02,0.0,0.0,4.0,2022-03-02,,398,POINT (754.0987512384932 1394.0500627767071),692,754.0987512384932,1394.0500627767071,Commercial,Other
8900,2022-03-02,0.0,0.0,5.0,2022-03-02,,399,POINT (1626.36173317109 4226.189405838731),180,1626.36173317109,4226.189405838731,Commercial,Other
9345,2022-03-02,0.0,0.0,2.0,2022-03-02,,400,POINT (753.1769059100845 1739.395851679909),227,753.1769059100845,1739.395851679909,Commercial,Other
9790,2022-03-02,0.0,0.0,5.0,2022-03-02,,401,POINT (-1674.8630003427375 1638.1520588255166),623,-1674.8630003427375,1638.1520588255166,Commercial,Other
10235,2022-03-02,0.0,0.0,4.0,2022-03-02,,402,POINT (1004.1152674725888 4462.540163068401),717,1004.1152674725888,4462.540163068401,Commercial,Other
10680,2022-03-02,0.0,0.0,6.0,2022-03-02,,403,POINT (2026.3999572104358 4142.402774048681),1023,2026.3999572104358,4142.402774048681,Commercial,Other
11125,2022-03-02,0.0,0.0,1.0,2022-03-02,,404,POINT (2630 4050),103,2630.0,4050.0,Commercial,Other
11570,2022-03-02,0.0,0.0,5.0,2022-03-02,,405,POINT (1535.4111740520664 4021.741043075247),982,1535.4111740520664,4021.741043075247,Commercial,Other
12015,2022-03-02,1.0,1.0,7.0,2022-03-02,0.0,406,POINT (973.2374190327052 3805.640410966102),347,973.2374190327052,3805.640410966102,Commercial,Other
12460,2022-03-02,1.0,1.0,5.0,2022-03-02,0.0,407,POINT (1105.2630658126443 3730.801103253373),1033,1105.2630658126443,3730.801103253373,Commercial,Other
12905,2022-03-02,0.0,0.0,6.0,2022-03-02,,408,POINT (412.9860808984934 1033.1806025214216),516,412.9860808984934,1033.1806025214216,Commercial,Other
13350,2022-03-02,0.0,0.0,1.0,2022-03-02,,409,POINT (1207.490101417887 4007.885706041321),225,1207.490101417887,4007.885706041321,Commercial,Other
13795,2022-03-02,0.0,0.0,4.0,2022-03-02,,410,POINT (1376.3976505541523 4822.779542501879),1024,1376.3976505541523,4822.779542501879,Commercial,Other
14240,2022-03-02,1.0,1.0,3.0,2022-03-02,0.0,411,POINT (916.9315425022253 4292.958506850986),527,916.9315425022253,4292.958506850986,Commercial,Other
14685,2022-03-02,0.0,0.0,2.0,2022-03-02,,412,POINT (496.2476568904982 1686.1524496266945),1009,496.2476568904982,1686.1524496266945,Commercial,Other
15130,2022-03-02,0.0,0.0,5.0,2022-03-02,,413,POINT (917.1190165763343 2102.895037900609),354,917.1190165763343,2102.895037900609,Commercial,Other
15575,2022-03-02,0.0,0.0,5.0,2022-03-02,,414,POINT (-82.06554016401982 1511.1129553803012),983,-82.06554016401982,1511.1129553803012,Commercial,Other
16020,2022-03-02,0.0,0.0,5.0,2022-03-02,,415,POINT (1496.4456131589884 4021.741043075247),982,1496.4456131589884,4021.741043075247,Commercial,Other
16465,2022-03-02,1.0,1.0,5.0,2022-03-02,0.0,416,POINT (507.31810222892034 1381.6774426214972),493,507.31810222892034,1381.6774426214972,Commercial,Other
16910,2022-03-02,0.0,0.0,3.0,2022-03-02,,417,POINT (-903.1271422325927 1570.7679946298354),315,-903.1271422325927,1570.7679946298354,Commercial,Other
17355,2022-03-02,1.0,1.0,5.0,2022-03-02,0.0,418,POINT (789.621374888836 1269.8729153421614),472,789.621374888836,1269.8729153421614,Commercial,Other
17800,2022-03-02,0.0,0.0,2.0,2022-03-02,,419,POINT (660.2070252315734 3532.331326221758),511,660.2070252315734,3532.331326221758,Commercial,Other
17833,2022-03-02,0.0,0.0,1.0,2022-03-02,,420,POINT (1677.4145716575592 4234.689307976414),795,1677.4145716575592,4234.689307976414,Commercial,Other
18278,2022-03-02,0.0,0.0,5.0,2022-03-02,,421,POINT (813.0476801480482 4199.837241599387),479,813.0476801480482,4199.837241599387,Commercial,Other
18723,2022-03-02,0.0,0.0,4.0,2022-03-02,,422,POINT (1273.4344092361837 1252.930095226732),317,1273.4344092361837,1252.930095226732,Commercial,Other
19168,2022-03-02,0.0,0.0,5.0,2022-03-02,,423,POINT (650.4125958509642 1744.50624697462),304,650.4125958509642,1744.50624697462,Commercial,Restaurant
19613,2022-03-02,0.0,0.0,5.0,2022-03-02,,424,POINT (39.59877121487088 1259.7742218297456),936,39.59877121487088,1259.7742218297456,Commercial,Other
20058,2022-03-02,0.0,0.0,4.0,2022-03-02,,425,POINT (-328.8906021165615 1795.1079117198856),946,-328.8906021165615,1795.1079117198856,Commercial,Other
20503,2022-03-02,0.0,0.0,4.0,2022-03-02,,426,POINT (-904.2325319573049 1335.9506479412894),256,-904.2325319573049,1335.9506479412894,Commercial,Other
20948,2022-03-02,0.0,0.0,5.0,2022-03-02,,427,POINT (-885.2966139548657 1555.9764946386085),315,-885.2966139548657,1555.9764946386085,Commercial,Other
21393,2022-03-02,0.0,0.0,3.0,2022-03-02,,428,POINT (1174.5599898893972 3684.5515693344405),323,1174.5599898893972,3684.5515693344405,Commercial,Other
21838,2022-03-02,4.0,3.0,8.0,2022-03-02,0.33333333333333326,429,POINT (715.9086691087551 4418.132191398763),964,715.9086691087551,4418.132191398763,Commercial,Restaurant
22283,2022-03-02,0.0,0.0,1.0,2022-03-02,,430,POINT (707.1111664944394 2001.4772026036535),304,707.1111664944394,2001.4772026036535,Commercial,Restaurant
22728,2022-03-02,0.0,0.0,1.0,2022-03-02,,431,POINT (-294.35496310306917 1795.1079117198856),946,-294.35496310306917,1795.1079117198856,Commercial,Other
23173,2022-03-02,0.0,0.0,4.0,2022-03-02,,432,POINT (991.3270590871906 4100.917174659022),142,991.3270590871906,4100.917174659022,Commercial,Other
23618,2022-03-02,0.0,0.0,1.0,2022-03-02,,433,POINT (318.94970745415804 1033.1806025214216),516,318.94970745415804,1033.1806025214216,Commercial,Other
24063,2022-03-02,0.0,0.0,5.0,2022-03-02,,434,POINT (800.6342599068146 4103.165163999878),150,800.6342599068146,4103.165163999878,Commercial,Other
24508,2022-03-02,1.0,0.0,5.0,2022-03-02,inf,435,POINT (1122.7448164206246 4383.066969959758),34,1122.7448164206246,4383.066969959758,Commercial,Other
24953,2022-03-02,1.0,1.0,4.0,2022-03-02,0.0,436,POINT (1376.3976505541523 4861.346259046002),1024,1376.3976505541523,4861.346259046002,Commercial,Other
25398,2022-03-02,3.0,2.0,9.0,2022-03-02,0.5,437,POINT (660.2070252315734 3610.994566867167),511,660.2070252315734,3610.994566867167,Commercial,Other
25843,2022-03-02,5.0,4.0,9.0,2022-03-02,0.25,438,POINT (2130.281249848629 4828.020411811667),972,2130.281249848629,4828.020411811667,Commercial,Other
26288,2022-03-02,0.0,0.0,6.0,2022-03-02,,439,POINT (585.2216880077107 3622.7180435904966),395,585.2216880077107,3622.7180435904966,Commercial,Other
26733,2022-03-02,0.0,0.0,5.0,2022-03-02,,440,POINT (448.79913987469365 4328.78174286464),644,448.79913987469365,4328.78174286464,Commercial,Other
27178,2022-03-02,0.0,0.0,5.0,2022-03-02,,441,POINT (-81.95690431663532 1423.077479497391),241,-81.95690431663532,1423.077479497391,Commercial,Other
27623,2022-03-02,0.0,0.0,1.0,2022-03-02,,829,POINT (-1683.9788287469512 4166.34595719268),411,-1683.9788287469512,4166.34595719268,Commercial,Other
28068,2022-03-02,0.0,0.0,4.0,2022-03-02,,830,POINT (-804.6120047431612 5042.0163759841835),421,-804.6120047431612,5042.0163759841835,Commercial,Other
28513,2022-03-02,0.0,0.0,3.0,2022-03-02,,831,POINT (-2200.279972988196 3572.4693137151007),32,-2200.279972988196,3572.4693137151007,Commercial,Other
28959,2022-03-02,0.0,0.0,3.0,2022-03-02,,833,POINT (-1967.8258905516104 4299.950272203162),93,-1967.8258905516104,4299.950272203162,Commercial,Other
29404,2022-03-02,0.0,0.0,2.0,2022-03-02,,834,POINT (-2380.139484985013 2944.7204566724226),869,-2380.139484985013,2944.7204566724226,Commercial,Other
29850,2022-03-02,0.0,0.0,2.0,2022-03-02,,836,POINT (-692.9825370378298 4950.223259408762),694,-692.9825370378298,4950.223259408762,Commercial,Other
30295,2022-03-02,5.0,4.0,10.0,2022-03-02,0.25,837,POINT (-2236.8263209885145 5274.27538066303),17,-2236.8263209885145,5274.27538066303,Commercial,Other
30740,2022-03-02,0.0,0.0,4.0,2022-03-02,,838,POINT (-1403.8103454524935 4457.26433207949),422,-1403.8103454524935,4457.26433207949,Commercial,Other
31185,2022-03-02,0.0,0.0,1.0,2022-03-02,,839,POINT (-1567.7082661009404 4491.2624087298655),162,-1567.7082661009404,4491.2624087298655,Commercial,Other
31630,2022-03-02,0.0,0.0,3.0,2022-03-02,,840,POINT (-1771.452216635636 4258.263943913515),917,-1771.452216635636,4258.263943913515,Commercial,Restaurant
32075,2022-03-02,0.0,0.0,5.0,2022-03-02,,841,POINT (-1771.452216635636 4386.238292917949),917,-1771.452216635636,4386.238292917949,Commercial,Restaurant
32520,2022-03-02,0.0,0.0,3.0,2022-03-02,,842,POINT (-692.7127197082955 5040.3388326223985),773,-692.7127197082955,5040.3388326223985,Commercial,Other
32965,2022-03-02,0.0,0.0,4.0,2022-03-02,,843,POINT (-2330.4222998927135 2944.7204566724226),869,-2330.4222998927135,2944.7204566724226,Commercial,Other
33410,2022-03-02,0.0,0.0,1.0,2022-03-02,,844,POINT (-836.719215114457 4482.040750623393),86,-836.719215114457,4482.040750623393,Commercial,Restaurant
33855,2022-03-02,0.0,0.0,4.0,2022-03-02,,845,POINT (-2363.1419320065197 2673.8808116595965),373,-2363.1419320065197,2673.8808116595965,Commercial,Other
34300,2022-03-02,0.0,0.0,1.0,2022-03-02,,846,POINT (-996.7808287569317 4750.184044489247),966,-996.7808287569317,4750.184044489247,Commercial,Other
34745,2022-03-02,0.0,0.0,5.0,2022-03-02,,847,POINT (-1680.9362530924764 4258.263943913515),917,-1680.9362530924764,4258.263943913515,Commercial,Restaurant
35190,2022-03-02,0.0,0.0,2.0,2022-03-02,,848,POINT (-468.02948129574554 4779.921390126033),121,-468.02948129574554,4779.921390126033,Commercial,Other
35635,2022-03-02,3.0,3.0,5.0,2022-03-02,0.0,849,POINT (-2231.66793504236 2598.728790351024),426,-2231.66793504236,2598.728790351024,Commercial,Other
36080,2022-03-02,0.0,0.0,4.0,2022-03-02,,850,POINT (-2364.178807858101 5198.1957151603365),485,-2364.178807858101,5198.1957151603365,Commercial,Other
36525,2022-03-02,0.0,0.0,3.0,2022-03-02,,851,POINT (-1398.3957137180148 4280.0291470642405),544,-1398.3957137180148,4280.0291470642405,Commercial,Other
36970,2022-03-02,0.0,0.0,4.0,2022-03-02,,852,POINT (-820.4751468446739 4770.301635511239),474,-820.4751468446739,4770.301635511239,Commercial,Other
37415,2022-03-02,5.0,5.0,8.0,2022-03-02,0.0,853,POINT (-811.6790007765514 4695.717947460926),549,-811.6790007765514,4695.717947460926,Commercial,Other
37860,2022-03-02,0.0,0.0,3.0,2022-03-02,,854,POINT (-2107.0655661560804 4184.061539506543),446,-2107.0655661560804,4184.061539506543,Commercial,Other
38305,2022-03-02,0.0,0.0,5.0,2022-03-02,,855,POINT (-784.6236528229551 4940.6907489765335),375,-784.6236528229551,4940.6907489765335,Commercial,Other
38750,2022-03-02,0.0,0.0,3.0,2022-03-02,,856,POINT (-468.02948129574554 4846.264154979615),121,-468.02948129574554,4846.264154979615,Commercial,Other
39195,2022-03-02,1.0,1.0,6.0,2022-03-02,0.0,857,POINT (-1096.0839701505342 4912.223245927846),190,-1096.0839701505342,4912.223245927846,Commercial,Other
39641,2022-03-02,0.0,0.0,5.0,2022-03-02,,859,POINT (-1684.5679842891263 3880.0711276345087),238,-1684.5679842891263,3880.0711276345087,Commercial,Pub
40086,2022-03-02,0.0,0.0,1.0,2022-03-02,,860,POINT (-836.8537841209326 4575.535706396641),132,-836.8537841209326,4575.535706396641,Commercial,Other
40531,2022-03-02,0.0,0.0,2.0,2022-03-02,,861,POINT (-2235.2922404843403 5106.71812915923),151,-2235.2922404843403,5106.71812915923,Commercial,Other
40976,2022-03-02,0.0,0.0,2.0,2022-03-02,,862,POINT (-1475.3580476204697 4473.948598738494),578,-1475.3580476204697,4473.948598738494,Commercial,Other
41421,2022-03-02,0.0,0.0,4.0,2022-03-02,,863,POINT (-1967.8258905516104 4254.2510682971215),93,-1967.8258905516104,4254.2510682971215,Commercial,Other
41866,2022-03-02,0.0,0.0,3.0,2022-03-02,,864,POINT (-1885.1886006319482 4569.0851981845035),118,-1885.1886006319482,4569.0851981845035,Commercial,Other
42311,2022-03-02,0.0,0.0,5.0,2022-03-02,,865,POINT (-1968.219929915483 4032.689324603983),862,-1968.219929915483,4032.689324603983,Commercial,Other
42756,2022-03-02,0.0,0.0,2.0,2022-03-02,,866,POINT (-1496.9713369216481 4493.171613333192),578,-1496.9713369216481,4493.171613333192,Commercial,Other
43201,2022-03-02,3.0,2.0,7.0,2022-03-02,0.5,867,POINT (-1903.2691698783528 4549.78019591636),118,-1903.2691698783528,4549.78019591636,Commercial,Other
43646,2022-03-02,0.0,0.0,6.0,2022-03-02,,868,POINT (-1982.7850080737494 4381.550830536558),416,-1982.7850080737494,4381.550830536558,Commercial,Other
44091,2022-03-02,0.0,0.0,4.0,2022-03-02,,869,POINT (-855.2484275272525 4593.770197855418),132,-855.2484275272525,4593.770197855418,Commercial,Other
44536,2022-03-02,0.0,0.0,4.0,2022-03-02,,870,POINT (-1499.9043260061567 4258.263943913515),917,-1499.9043260061567,4258.263943913515,Commercial,Restaurant
44981,2022-03-02,0.0,0.0,5.0,2022-03-02,,871,POINT (-2202.659451917056 3456.928318795747),297,-2202.659451917056,3456.928318795747,Commercial,Other
45426,2022-03-02,0.0,0.0,3.0,2022-03-02,,872,POINT (-2202.659451917056 3327.781752937518),297,-2202.659451917056,3327.781752937518,Commercial,Other
45871,2022-03-02,0.0,0.0,6.0,2022-03-02,,873,POINT (-2000.3032213302695 4184.061539506543),446,-2000.3032213302695,4184.061539506543,Commercial,Other
46316,2022-03-02,0.0,0.0,6.0,2022-03-02,,874,POINT (-1985.985052430187 4683.882031145004),567,-1985.985052430187,4683.882031145004,Commercial,Other
46761,2022-03-02,0.0,0.0,1.0,2022-03-02,,875,POINT (-981.7218378806529 4774.377841270679),966,-981.7218378806529,4774.377841270679,Commercial,Other
47206,2022-03-02,1.0,0.0,7.0,2022-03-02,inf,876,POINT (-1670.937273533352 4186.622203455871),411,-1670.937273533352,4186.622203455871,Commercial,Other
47651,2022-03-02,0.0,0.0,8.0,2022-03-02,,877,POINT (-1784.078473278472 4571.813634096875),670,-1784.078473278472,4571.813634096875,Commercial,Other
48096,2022-03-02,1.0,1.0,7.0,2022-03-02,0.0,878,POINT (-1104.6810874856722 4468.581510395101),205,-1104.6810874856722,4468.581510395101,Commercial,Other
48541,2022-03-02,0.0,0.0,2.0,2022-03-02,,879,POINT (-2198.792729602534 4271.178583140792),930,-2198.792729602534,4271.178583140792,Commercial,Other
48986,2022-03-02,0.0,0.0,3.0,2022-03-02,,880,POINT (-2330.4222998927135 2982.861013084039),869,-2330.4222998927135,2982.861013084039,Commercial,Other
49431,2022-03-02,0.0,0.0,2.0,2022-03-02,,881,POINT (-911.019048928239 4853.786158585597),243,-911.019048928239,4853.786158585597,Commercial,Other
49876,2022-03-02,0.0,0.0,2.0,2022-03-02,,882,POINT (-1241.6483470328672 3722.01804223004),106,-1241.6483470328672,3722.01804223004,Commercial,Other
50321,2022-03-02,0.0,0.0,8.0,2022-03-02,,883,POINT (-2148.436841916328 5261.788712538423),17,-2148.436841916328,5261.788712538423,Commercial,Other
50766,2022-03-02,2.0,2.0,3.0,2022-03-02,0.0,884,POINT (-1968.219929915483 3886.9152696618244),862,-1968.219929915483,3886.9152696618244,Commercial,Other
51211,2022-03-02,2.0,1.0,6.0,2022-03-02,1.0,885,POINT (-2195.7632940592357 5124.807852313174),151,-2195.7632940592357,5124.807852313174,Commercial,Other
51656,2022-03-02,0.0,0.0,3.0,2022-03-02,,886,POINT (-784.6236528229551 4863.66806749154),375,-784.6236528229551,4863.66806749154,Commercial,Other
52101,2022-03-02,0.0,0.0,5.0,2022-03-02,,887,POINT (-1590.604526018032 4166.9915883892645),339,-1590.604526018032,4166.9915883892645,Commercial,Other
52546,2022-03-02,0.0,0.0,3.0,2022-03-02,,888,POINT (-1034.4629823865148 3711.3026228381386),254,-1034.4629823865148,3711.3026228381386,Commercial,Other
52991,2022-03-02,0.0,0.0,2.0,2022-03-02,,889,POINT (-1590.4202895493163 4258.263943913515),917,-1590.4202895493163,4258.263943913515,Commercial,Restaurant
53436,2022-03-02,0.0,0.0,1.0,2022-03-02,,890,POINT (-2240.4913941583936 5198.567602243795),781,-2240.4913941583936,5198.567602243795,Commercial,Other
53881,2022-03-02,0.0,0.0,5.0,2022-03-02,,891,POINT (-1089.9889021305112 4455.822342476473),205,-1089.9889021305112,4455.822342476473,Commercial,Other
54326,2022-03-02,0.0,0.0,3.0,2022-03-02,,1279,POINT (-654.0366978538146 3632.0760648960236),923,-654.0366978538146,3632.0760648960236,Commercial,Other
54771,2022-03-02,0.0,0.0,2.0,2022-03-02,,1280,POINT (-501.42676062779447 3608.0722709059037),489,-501.42676062779447,3608.0722709059037,Commercial,Pub
